,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_gamma,param_max_depth,param_min_child_weight,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
446,0.6156252861022949,0.03081469946952646,0.04061799049377442,0.0017835922754132279,1.0,1.5,4,5,1.0,"{'colsample_bytree': 1.0, 'gamma': 1.5, 'max_depth': 4, 'min_child_weight': 5, 'subsample': 1.0}",0.6545973729297544,0.6518560822387207,0.6458023986293546,0.6501427755568246,0.6475896732922093,0.6499976605293728,0.0030993795744077126,331
447,0.7312660217285156,0.16908441879425345,0.042061233520507814,0.0028798742184900535,1.0,1.5,4,10,0.6,"{'colsample_bytree': 1.0, 'gamma': 1.5, 'max_depth': 4, 'min_child_weight': 10, 'subsample': 0.6}",0.6564249000571102,0.653455168475157,0.6458023986293546,0.6498001142204455,0.6506739776102353,0.6512313117984605,0.003570740640854321,256
448,0.7596645832061768,0.1397003631802676,0.044697237014770505,0.0045699204299702685,1.0,1.5,4,10,0.8,"{'colsample_bytree': 1.0, 'gamma': 1.5, 'max_depth': 4, 'min_child_weight': 10, 'subsample': 0.8}",0.6564249000571102,0.653455168475157,0.6458023986293546,0.6498001142204455,0.6506739776102353,0.6512313117984605,0.003570740640854321,256
449,0.5711123943328857,0.006153153162793743,0.039225530624389646,0.0006988991410530164,1.0,1.5,4,10,1.0,"{'colsample_bytree': 1.0, 'gamma': 1.5, 'max_depth': 4, 'min_child_weight': 10, 'subsample': 1.0}",0.6564249000571102,0.653455168475157,0.6458023986293546,0.6498001142204455,0.6506739776102353,0.6512313117984605,0.003570740640854321,256
450,0.8089237213134766,0.11383116378474423,0.042899465560913085,0.002407836668542721,1.0,1.5,7,1,0.6,"{'colsample_bytree': 1.0, 'gamma': 1.5, 'max_depth': 7, 'min_child_weight': 1, 'subsample': 0.6}",0.6557395773843518,0.6493432324386065,0.6496858937749858,0.6542547115933752,0.6514736120630569,0.6520994054508752,0.002518306650136941,181
451,0.756141185760498,0.055021630022914644,0.04540562629699707,0.002847276501812497,1.0,1.5,7,1,0.8,"{'colsample_bytree': 1.0, 'gamma': 1.5, 'max_depth': 7, 'min_child_weight': 1, 'subsample': 0.8}",0.6557395773843518,0.6493432324386065,0.6496858937749858,0.6542547115933752,0.6514736120630569,0.6520994054508752,0.002518306650136941,181
452,0.7278168678283692,0.01348033956758542,0.04130887985229492,0.0007913675012399774,1.0,1.5,7,1,1.0,"{'colsample_bytree': 1.0, 'gamma': 1.5, 'max_depth': 7, 'min_child_weight': 1, 'subsample': 1.0}",0.6557395773843518,0.6493432324386065,0.6496858937749858,0.6542547115933752,0.6514736120630569,0.6520994054508752,0.002518306650136941,181
453,0.7455283641815186,0.028425383277997523,0.04201240539550781,0.00047811904263690474,1.0,1.5,7,5,0.6,"{'colsample_bytree': 1.0, 'gamma': 1.5, 'max_depth': 7, 'min_child_weight': 5, 'subsample': 0.6}",0.6525414049114792,0.6509423186750428,0.6502569960022844,0.653455168475157,0.6506739776102353,0.6515739731348398,0.001218049934891544,241
454,0.8317429065704346,0.14385030371040378,0.041967344284057614,0.0004224757147110548,1.0,1.5,7,5,0.8,"{'colsample_bytree': 1.0, 'gamma': 1.5, 'max_depth': 7, 'min_child_weight': 5, 'subsample': 0.8}",0.6525414049114792,0.6509423186750428,0.6502569960022844,0.653455168475157,0.6506739776102353,0.6515739731348398,0.001218049934891544,241
455,0.7113302707672119,0.008119751822576628,0.04176039695739746,0.0005281016067592606,1.0,1.5,7,5,1.0,"{'colsample_bytree': 1.0, 'gamma': 1.5, 'max_depth': 7, 'min_child_weight': 5, 'subsample': 1.0}",0.6525414049114792,0.6509423186750428,0.6502569960022844,0.653455168475157,0.6506739776102353,0.6515739731348398,0.001218049934891544,241
